Date,USD/NTD,RMB/NTD,EUR/USD,USD/JPY,GBP/USD,AUD/USD,USD/HKD,USD/RMB,USD/ZAR,NZD/USD
20231101,32.484,4.427017,1.0566,151.255,1.21595,0.63405,7.82385,7.33765,18.6887,0.5819
20231102,32.361,4.412487,1.0597,150.455,1.2161,0.64225,7.82295,7.33395,18.4729,0.5878
20231103,32.303,4.411815,1.063,150.345,1.2196,0.6441,7.82505,7.32195,18.4033,0.5909
20231106,32.143,4.413941,1.0744,149.575,1.2393,0.6516,7.821,7.28215,18.2069,0.5997
20231107,32.197,4.415851,1.0697,150.475,1.23175,0.64315,7.81855,7.29125,18.3616,0.59245
20231108,32.248,4.428682,1.0675,150.655,1.22685,0.64385,7.81635,7.2816,18.39515,0.5936
20231109,32.258,4.423023,1.0704,150.955,1.22845,0.64035,7.80955,7.2932,18.52805,0.59225
20231110,32.352,4.429442,1.0671,151.395,1.2227,0.63615,7.80975,7.30385,18.6679,0.5898
20231113,32.332,4.427867,1.0689,151.795,1.2234,0.6368,7.81,7.30195,18.6726,0.5885
20231114,32.33,4.427173,1.0702,151.695,1.22845,0.63625,7.80705,7.30265,18.73595,0.5866
20231115,32.108,4.433216,1.08775,150.705,1.247,0.6509,7.80625,7.2426,18.2225,0.60345
20231116,32.01,4.409281,1.08435,151.425,1.2378,0.6477,7.80505,7.2597,18.23705,0.5979
20231117,31.856,4.393898,1.08305,150.355,1.2385,0.6465,7.79685,7.25005,18.4154,0.59505
20231120,31.658,4.411004,1.0927,148.745,1.2491,0.656,7.79425,7.17705,18.3392,0.6036
20231121,31.448,4.408349,1.0955,147.545,1.2532,0.65765,7.79345,7.13375,18.32485,0.6076
20231122,31.595,4.418024,1.0915,148.915,1.2536,0.65425,7.79625,7.1514,18.6643,0.6034
20231123,31.545,4.416363,1.09,149.235,1.2512,0.6564,7.7972,7.14275,18.7825,0.6055
20231124,31.628,4.417831,1.091,149.525,1.2534,0.6562,7.7936,7.15915,18.8923,0.60565
20231127,31.57,4.414149,1.0948,149.045,1.2619,0.6592,7.78925,7.152,18.8193,0.6087
20231128,31.468,4.395702,1.0942,148.595,1.26135,0.66095,7.79505,7.1588,18.692,0.60935
20231129,31.25,4.386094,1.09945,147.405,1.2708,0.66365,7.7982,7.1248,18.5148,0.6169
20231130,31.26,4.380839,1.0957,147.055,1.2706,0.6634,7.80725,7.1356,18.7195,0.61745
20231201,31.475,4.401558,1.0899,148.195,1.2649,0.6613,7.81065,7.1509,18.8502,0.6163
20231204,31.415,4.398069,1.08685,147.045,1.2668,0.6637,7.81425,7.1429,18.7247,0.61755
20231205,31.493,4.402155,1.0811,146.765,1.262,0.6578,7.81685,7.154,18.8418,0.6156
20231206,31.505,4.397846,1.0784,147.085,1.26005,0.6584,7.81065,7.16375,18.9245,0.61665
20231207,31.529,4.405453,1.0776,145.525,1.25815,0.6564,7.81285,7.1568,18.9623,0.614
20231208,31.374,4.376579,1.0784,144.225,1.2566,0.6606,7.8106,7.1686,18.81535,0.615
20231211,31.512,4.380231,1.0758,146.305,1.25455,0.65545,7.80785,7.19415,19.0489,0.6107
20231212,31.509,4.383248,1.07825,145.515,1.25675,0.6591,7.80805,7.1885,19.0101,0.61475
20231213,31.526,4.379813,1.0791,145.835,1.2532,0.65545,7.81185,7.19805,19.0174,0.60945
20231214,31.33,4.386545,1.0889,141.765,1.2624,0.6712,7.80945,7.1423,18.6175,0.6216
20231215,31.268,4.400346,1.0971,141.795,1.27625,0.6712,7.8057,7.1058,18.22285,0.62145
20231218,31.314,4.387436,1.0917,142.485,1.269,0.672,7.79915,7.1372,18.2994,0.624
20231219,31.361,4.385428,1.0934,144.285,1.2679,0.6722,7.79915,7.1512,18.5656,0.62335
20231220,31.31,4.387564,1.0965,143.605,1.26595,0.67695,7.804,7.1361,18.2671,0.6286
20231221,31.282,4.376008,1.0952,143.235,1.26375,0.6746,7.80695,7.1485,18.212,0.6245
20231222,31.203,4.366829,1.1006,142.355,1.26945,0.6782,7.81435,7.14545,18.42385,0.62775
20231225,31.14,4.359974,1.1015,142.425,1.27,0.681,7.80975,7.14225,18.49645,0.6306
20231226,31.065,4.344844,1.10245,142.365,1.2699,0.6803,7.81365,7.14985,18.4942,0.63045
