"Date","USD_NTD","RMB_USD","EUR_USD","USD_JPY","GBP_USD","AUD_USD","USD_HKD","USD_RMB","USD_ZAR","NZD_USD"
"20231201","31.475","4.401558","1.0899","148.195","1.2649","0.6613","7.81065","7.1509","18.8502","0.6163"
"20231204","31.415","4.398069","1.08685","147.045","1.2668","0.6637","7.81425","7.1429","18.7247","0.61755"
"20231205","31.493","4.402155","1.0811","146.765","1.262","0.6578","7.81685","7.154","18.8418","0.6156"
"20231206","31.505","4.397846","1.0784","147.085","1.26005","0.6584","7.81065","7.16375","18.9245","0.61665"
"20231207","31.529","4.405453","1.0776","145.525","1.25815","0.6564","7.81285","7.1568","18.9623","0.614"
"20231208","31.374","4.376579","1.0784","144.225","1.2566","0.6606","7.8106","7.1686","18.81535","0.615"
"20231211","31.512","4.380231","1.0758","146.305","1.25455","0.65545","7.80785","7.19415","19.0489","0.6107"
"20231212","31.509","4.383248","1.07825","145.515","1.25675","0.6591","7.80805","7.1885","19.0101","0.61475"
"20231213","31.526","4.379813","1.0791","145.835","1.2532","0.65545","7.81185","7.19805","19.0174","0.60945"
"20231214","31.33","4.386545","1.0889","141.765","1.2624","0.6712","7.80945","7.1423","18.6175","0.6216"
"20231215","31.268","4.400346","1.0971","141.795","1.27625","0.6712","7.8057","7.1058","18.22285","0.62145"
"20231218","31.314","4.387436","1.0917","142.485","1.269","0.672","7.79915","7.1372","18.2994","0.624"
"20231219","31.361","4.385428","1.0934","144.285","1.2679","0.6722","7.79915","7.1512","18.5656","0.62335"
"20231220","31.31","4.387564","1.0965","143.605","1.26595","0.67695","7.804","7.1361","18.2671","0.6286"
"20231221","31.282","4.376008","1.0952","143.235","1.26375","0.6746","7.80695","7.1485","18.212","0.6245"
"20231222","31.203","4.366829","1.1006","142.355","1.26945","0.6782","7.81435","7.14545","18.42385","0.62775"
"20231225","31.14","4.359974","1.1015","142.425","1.27","0.681","7.80975","7.14225","18.49645","0.6306"
"20231226","31.065","4.344844","1.10245","142.365","1.2699","0.6803","7.81365","7.14985","18.4942","0.63045"
"20231227","30.88","4.319494","1.1046","142.575","1.2722","0.68315","7.81105","7.149","18.6062","0.6327"
"20231228","30.718","4.321869","1.1111","140.885","1.28105","0.6846","7.81515","7.10755","18.39315","0.63485"
"20231229","30.735","4.330715","1.1075","141.385","1.2755","0.6834","7.81225","7.097","18.52045","0.6345"
"20240102","30.866","4.325685","1.1031","141.345","1.2757","0.6832","7.81295","7.1355","18.3847","0.6312"
"20240103","31.01","4.338299","1.0963","142.435","1.26495","0.67565","7.81025","7.14795","18.54865","0.6264"
